日付,降水量合計_mm,平均気温_℃,平均湿度_%,降雪量合計_cm,天気概況_昼
2024-07-17,0.5,26.5,85.0,,曇時々雨
2024-07-18,,28.8,68.0,,曇時々晴
2024-07-19,29.5,30.3,67.0,,曇後一時雨、雷を伴う
2024-07-20,27.5,27.5,83.0,,雨後曇時々晴、雷を伴う
2024-07-21,0.0,31.1,63.0,,晴時々曇
2024-07-22,0.0,30.6,68.0,,晴一時曇、雷を伴う
2024-07-23,,31.3,63.0,,曇時々晴
2024-07-24,30.5,25.9,86.0,,雨時々曇、雷を伴う
2024-07-25,0.5,29.9,70.0,,曇後一時雨一時晴、雷を伴う
2024-07-26,0.0,29.8,71.0,,曇後時々雨、雷を伴う
2024-07-27,,31.2,68.0,,晴時々曇
2024-07-28,0.0,30.1,72.0,,曇
2024-07-29,0.0,30.0,67.0,,曇時々晴
2024-07-30,38.0,26.9,90.0,,大雨時々曇
2024-07-31,,28.0,79.0,,曇時々晴
2024-08-01,,27.9,74.0,,晴
2024-08-02,,29.3,72.0,,晴
2024-08-03,,30.6,74.0,,晴
2024-08-04,0.0,29.5,79.0,,晴後曇一時雨、雷を伴う
2024-08-05,0.0,29.2,81.0,,曇時々晴
2024-08-06,0.0,28.3,83.0,,曇時々晴
2024-08-07,1.0,27.8,84.0,,晴時々曇
2024-08-08,5.5,27.1,84.0,,雨時々曇後晴
2024-08-09,0.0,27.5,78.0,,晴
2024-08-10,,27.3,77.0,,晴
2024-08-11,0.0,27.9,78.0,,晴
2024-08-12,0.0,28.0,80.0,,曇一時雨後一時晴
2024-08-13,3.5,28.2,85.0,,雨時々曇後晴
2024-08-14,0.0,28.7,83.0,,晴時々曇一時雨、雷を伴う
2024-08-15,0.5,28.1,81.0,,晴時々曇、雷を伴う
2024-08-16,0.5,27.2,89.0,,雨時々曇
2024-08-17,0.5,28.1,84.0,,晴一時雨後曇、雷を伴う
2024-08-18,3.5,27.7,86.0,,曇時々雨後晴
2024-08-19,0.5,28.0,84.0,,晴後曇時々雨、雷を伴う
2024-08-20,0.0,29.2,72.0,,晴、雷を伴う
2024-08-21,,28.7,76.0,,晴時々曇
2024-08-22,0.0,31.0,71.0,,曇時々晴一時雨
2024-08-23,,32.9,59.0,,晴
2024-08-24,,30.1,75.0,,曇時々晴、雷を伴う
2024-08-25,1.5,28.2,81.0,,雨時々曇、雷を伴う
2024-08-26,0.0,29.2,75.0,,曇後晴、雷を伴う
2024-08-27,5.5,30.8,61.0,,曇時々晴、雷を伴う
2024-08-28,0.0,27.7,81.0,,曇時々晴、雷を伴う
2024-08-29,7.5,26.1,84.0,,雨一時曇
2024-08-30,0.0,29.8,70.0,,曇時々晴
2024-08-31,23.0,25.8,88.0,,雨後曇
2024-09-01,1.5,26.8,83.0,,曇時々晴
2024-09-02,17.5,24.6,94.0,,雨時々曇、雷を伴う
2024-09-03,0.0,25.2,84.0,,曇時々雨
2024-09-04,,25.8,79.0,,晴
2024-09-05,,27.4,74.0,,晴後時々曇
2024-09-06,,27.6,69.0,,晴
2024-09-07,,28.2,73.0,,曇時々晴
2024-09-08,9.0,26.8,85.0,,雨後曇時々晴、雷を伴う
2024-09-09,,26.9,81.0,,晴時々曇
2024-09-10,,28.6,77.0,,晴
2024-09-11,,29.9,70.0,,晴時々曇
2024-09-12,0.0,28.5,81.0,,曇時々晴一時雨、雷を伴う
2024-09-13,,28.8,76.0,,晴後時々曇、雷を伴う
2024-09-14,,29.3,74.0,,晴
2024-09-15,107.0,27.8,82.0,,大雨時々曇、雷を伴う
2024-09-16,13.0,26.7,86.0,,雨時々曇後晴
2024-09-17,1.0,27.7,85.0,,曇時々晴一時雨
2024-09-18,0.0,27.8,82.0,,曇後時々雨、雷を伴う
2024-09-19,15.5,26.8,84.0,,雨時々曇、雷を伴う
2024-09-20,0.0,30.0,67.0,,晴後時々曇
2024-09-21,5.5,26.6,84.0,,雨時々曇
2024-09-22,36.5,22.7,92.0,,大雨時々曇、雷を伴う
2024-09-23,4.5,21.1,82.0,,雨後晴一時曇
2024-09-24,,22.4,76.0,,晴後時々曇
2024-09-25,,23.5,75.0,,晴
2024-09-26,,23.7,77.0,,晴後時々曇
2024-09-27,,24.0,80.0,,曇一時晴
2024-09-28,0.0,23.5,80.0,,曇時々雨
2024-09-29,,22.9,79.0,,曇
2024-09-30,,23.1,81.0,,曇後一時晴
2024-10-01,,23.5,77.0,,晴
2024-10-02,0.0,22.1,72.0,,曇一時晴後一時雨
2024-10-03,28.5,18.9,93.0,,雨時々曇
2024-10-04,11.0,20.1,94.0,,雨時々曇
2024-10-05,1.5,19.5,89.0,,曇時々雨
2024-10-06,,21.4,84.0,,曇後時々晴
2024-10-07,43.5,20.7,95.0,,大雨時々曇
2024-10-08,7.0,18.1,92.0,,雨
2024-10-09,1.0,19.0,80.0,,晴時々曇
2024-10-10,,18.0,74.0,,曇時々晴
2024-10-11,0.0,18.9,71.0,,晴時々雨一時曇
2024-10-12,,19.0,74.0,,晴
2024-10-13,,19.0,74.0,,晴
2024-10-14,,20.6,70.0,,晴後一時曇
2024-10-15,0.0,23.9,57.0,,曇時々晴
2024-10-16,1.0,22.0,83.0,,雨時々曇
2024-10-17,,21.1,82.0,,晴時々曇
2024-10-18,0.0,20.6,84.0,,曇一時雨
2024-10-19,44.5,21.7,83.0,,大雨時々曇、雷を伴う
2024-10-20,3.0,14.8,67.0,,晴一時曇
2024-10-21,,16.0,71.0,,晴一時曇
2024-10-22,0.0,20.8,57.0,,曇後時々雨
2024-10-23,1.5,23.6,71.0,,曇後時々雨、雷を伴う
2024-10-24,1.0,19.1,81.0,,曇
2024-10-25,0.0,18.2,80.0,,晴時々曇
2024-10-26,,16.7,85.0,,曇
2024-10-27,25.0,17.9,87.0,,曇時々晴後雨
2024-10-28,28.5,16.6,86.0,,雨後曇時々晴
2024-10-29,8.0,15.9,81.0,,曇一時晴後時々雨
2024-10-30,4.0,15.6,85.0,,曇後雨時々晴
2024-10-31,,14.6,78.0,,曇時々晴
2024-11-01,3.0,20.0,72.0,,曇後時々雨
2024-11-02,68.5,17.4,93.0,,大雨
2024-11-03,,16.5,70.0,,晴一時曇
2024-11-04,0.0,17.8,70.0,,晴時々曇一時雨
2024-11-05,10.0,14.8,81.0,,曇一時雨
2024-11-06,31.5,13.6,79.0,,雨後晴時々曇
2024-11-07,2.5,10.2,70.0,,曇一時雨
2024-11-08,,9.4,69.0,,晴時々曇
2024-11-09,,10.3,67.0,,晴一時曇
2024-11-10,,12.2,71.0,,晴時々曇
2024-11-11,0.0,15.3,79.0,,晴時々曇
2024-11-12,1.0,14.7,77.0,,曇時々晴
2024-11-13,2.0,14.3,79.0,,曇時々晴
2024-11-14,,12.8,80.0,,晴一時曇
2024-11-15,,15.0,84.0,,曇後一時晴
2024-11-16,0.0,15.5,85.0,,曇時々晴
2024-11-17,21.0,16.4,88.0,,曇一時晴後雨
2024-11-18,9.0,9.3,75.0,,雨時々曇
2024-11-19,2.0,6.2,81.0,,雨一時晴後曇
2024-11-20,,8.7,75.0,,曇一時晴
2024-11-21,4.0,10.7,80.0,,曇時々晴後雨
2024-11-22,26.0,9.9,90.0,,雨時々曇、雷を伴う
2024-11-23,2.5,8.0,87.0,,曇時々雨
2024-11-24,8.0,8.6,84.0,,曇時々雨一時晴
2024-11-25,0.5,8.4,77.0,,晴一時曇
2024-11-26,13.0,14.7,60.0,,曇時々晴後雨
2024-11-27,6.0,12.1,83.0,,曇後時々晴一時雨
2024-11-28,18.0,7.8,79.0,,雨時々曇、雷を伴う
2024-11-29,45.0,6.1,89.0,,大雨、雷を伴う
2024-11-30,29.5,6.7,90.0,,雨
2024-12-01,9.0,8.7,84.0,,曇時々雨
2024-12-02,,11.6,71.0,,晴一時曇
2024-12-03,2.5,12.5,70.0,,曇一時晴後雨
2024-12-04,6.0,9.7,80.0,,曇時々雨
2024-12-05,15.0,7.6,85.0,,雨時々曇、雷を伴う
2024-12-06,35.5,6.4,89.0,,雨、雷を伴う
2024-12-07,10.5,4.7,93.0,,雨時々曇
2024-12-08,12.0,4.3,89.0,,雨時々曇、雷を伴う
2024-12-09,0.0,4.8,85.0,,曇時々雨
2024-12-10,0.0,6.9,76.0,,晴後曇時々雨
2024-12-11,12.0,5.3,89.0,,雨
2024-12-12,0.0,3.3,78.0,,曇後晴一時雨、みぞれを伴う
2024-12-13,9.5,5.8,70.0,,曇時々雪一時みぞれ後雨
2024-12-14,25.0,2.9,87.0,1,曇時々みぞれ後晴一時雨
2024-12-15,19.0,4.1,82.0,,みぞれ時々曇一時雪後雨
2024-12-16,15.0,4.9,91.0,,雨時々曇
2024-12-17,24.5,5.3,90.0,,雨時々曇
2024-12-18,20.0,3.5,90.0,,雨時々みぞれ
2024-12-19,1.0,2.3,91.0,,曇後みぞれ時々晴一時雨
2024-12-20,,3.9,75.0,,曇時々晴
2024-12-21,19.0,7.2,66.0,,曇一時みぞれ
2024-12-22,12.5,2.1,89.0,2,みぞれ時々雪一時曇
2024-12-23,11.0,2.2,91.0,12,曇時々雪一時みぞれ後雨
2024-12-24,3.0,3.0,91.0,,みぞれ後雨時々曇
2024-12-25,,4.7,74.0,,曇時々晴
2024-12-26,16.5,6.9,84.0,,雨時々曇、雷を伴う
2024-12-27,29.0,2.1,96.0,4,みぞれ時々雨一時雪
2024-12-28,33.0,1.1,97.0,8,みぞれ時々雪一時曇
2024-12-29,17.0,1.9,94.0,2,みぞれ時々雨一時曇、雷を伴う
2024-12-30,0.0,4.9,72.0,,曇時々晴一時雨、みぞれを伴う
2024-12-31,21.0,5.8,80.0,,雨時々曇、雷を伴う
2025-01-01,1.5,5.3,74.0,,曇時々晴一時雨
2025-01-02,24.0,5.4,91.0,,雨時々曇
2025-01-03,30.5,2.9,92.0,1,曇時々みぞれ後雨、雷を伴う
2025-01-04,9.0,1.9,92.0,3,みぞれ一時雪後曇時々晴
2025-01-05,0.0,4.2,76.0,,曇時々みぞれ一時雨後時々晴
2025-01-06,4.0,7.1,73.0,,雨時々曇
2025-01-07,24.0,4.8,86.0,,雨時々曇一時みぞれ、雷を伴う
2025-01-08,29.0,1.3,93.0,12,みぞれ時々雪一時曇、雷を伴う
2025-01-09,17.0,0.9,89.0,9,みぞれ後雪時々曇、雷を伴う
2025-01-10,10.0,0.7,91.0,10,曇後雪時々みぞれ
2025-01-11,0.5,2.6,87.0,,曇時々晴、みぞれを伴う
2025-01-12,1.0,3.1,74.0,,曇後時々晴
2025-01-13,1.5,4.1,77.0,,曇時々みぞれ後晴一時雨
2025-01-14,14.5,4.6,80.0,,みぞれ時々曇後雨
2025-01-15,29.0,2.8,93.0,2,雨後時々みぞれ
2025-01-16,9.0,3.4,80.0,2,曇時々晴一時雪、みぞれを伴う
2025-01-17,1.0,2.3,75.0,,曇一時雪後晴、みぞれを伴う
2025-01-18,,2.5,69.0,,晴一時曇
2025-01-19,,5.4,72.0,,晴時々曇
2025-01-20,5.5,7.4,78.0,,曇時々晴一時雨
2025-01-21,0.0,6.1,74.0,,晴後一時曇
2025-01-22,0.0,5.5,67.0,,曇時々晴
2025-01-23,0.0,7.1,71.0,,曇時々雨
2025-01-24,0.0,5.7,81.0,,晴後曇一時雨
2025-01-25,5.0,4.1,76.0,,曇後晴一時雨、みぞれを伴う
2025-01-26,7.5,4.0,86.0,,みぞれ時々雨一時曇後晴
2025-01-27,,5.1,73.0,,曇
2025-01-28,10.5,4.5,82.0,,雨後時々みぞれ一時曇
2025-01-29,37.0,1.6,90.0,11,みぞれ時々雪一時雨、雷を伴う
2025-01-30,21.0,1.3,93.0,9,雪時々曇後みぞれ
2025-01-31,9.0,1.7,95.0,3,みぞれ時々曇一時雪
2025-02-01,0.0,3.8,84.0,,曇時々晴
2025-02-02,0.0,4.6,74.0,,曇後時々晴
2025-02-03,4.5,4.3,81.0,,曇時々雨
2025-02-04,26.5,0.5,94.0,35,雪時々曇一時みぞれ
2025-02-05,30.0,-0.8,93.0,23,雪時々曇、雷・霧を伴う
2025-02-06,24.0,-0.3,93.0,11,雪時々曇
2025-02-07,16.5,0.4,85.0,15,
2025-02-08,10.0,0.3,89.0,9,
2025-02-09,7.5,1.1,91.0,10,
2025-02-10,8.0,1.5,92.0,4,
2025-02-11,8.5,1.5,85.0,3,
2025-02-12,1.0,2.8,70.0,,
2025-02-13,9.5,3.3,79.0,1,みぞれ一時雨後曇時々雪
2025-02-14,0.5,4.5,74.0,,曇時々晴一時雪、みぞれを伴う
2025-02-15,,4.9,71.0,,晴後一時曇
2025-02-16,0.0,7.6,70.0,,曇一時雨後晴
2025-02-17,5.5,2.9,81.0,3,雨後みぞれ一時雪、雷を伴う
2025-02-18,12.5,-0.3,93.0,18,雪時々曇、みぞれを伴う
2025-02-19,4.5,-0.7,91.0,4,雪時々曇
2025-02-20,2.0,-0.4,92.0,4,雪時々曇
2025-02-21,0.0,-0.2,83.0,1,雪時々曇
2025-02-22,13.5,-0.8,91.0,21,雪時々曇、雷を伴う
2025-02-23,3.5,0.2,91.0,8,雪時々曇一時晴、みぞれを伴う
2025-02-24,7.5,0.8,91.0,13,雪時々曇一時みぞれ
2025-02-25,,3.8,72.0,,晴時々曇
2025-02-26,6.0,5.5,73.0,,雨時々曇
2025-02-27,0.0,6.3,66.0,,晴一時曇
2025-02-28,0.0,6.2,66.0,,曇後時々雨
2025-03-01,,8.6,68.0,,晴時々曇
2025-03-02,6.0,7.8,88.0,,雨後一時曇
2025-03-03,22.5,4.2,82.0,,雨後時々曇時々みぞれ一時晴
2025-03-04,14.0,2.8,76.0,,曇後時々みぞれ
2025-03-05,6.0,5.6,97.0,,雨時々曇
2025-03-06,0.5,5.1,82.0,,曇一時晴後雨、みぞれを伴う
2025-03-07,0.0,3.7,66.0,,曇時々晴一時雨、みぞれを伴う
2025-03-08,0.0,3.8,67.0,,曇
2025-03-09,0.0,6.0,68.0,,晴一時みぞれ
2025-03-10,,6.3,68.0,,晴
2025-03-11,0.0,9.6,70.0,,曇時々雨
2025-03-12,0.0,10.3,77.0,,曇時々晴
2025-03-13,0.5,11.1,69.0,,曇一時雨後晴
2025-03-14,,8.1,60.0,,晴一時曇
2025-03-15,0.5,5.7,68.0,,曇
2025-03-16,16.5,6.2,93.0,,雨
2025-03-17,12.0,5.0,82.0,,雨時々曇、みぞれを伴う
2025-03-18,,5.4,69.0,,晴
2025-03-19,34.5,2.7,92.0,1,みぞれ時々大雨
2025-03-20,0.0,5.9,65.0,,曇時々晴一時雨、みぞれを伴う
2025-03-21,,10.8,49.0,,曇時々晴
2025-03-22,,15.9,38.0,,晴
2025-03-23,,14.2,56.0,,晴
2025-03-24,0.0,14.2,57.0,,曇後一時雨一時晴
2025-03-25,,18.3,44.0,,晴時々曇
2025-03-26,0.0,14.3,62.0,,晴時々曇
2025-03-27,7.5,19.6,49.0,,晴時々曇
2025-03-28,27.5,10.9,93.0,,雨後一時曇
2025-03-29,0.0,7.1,64.0,,晴一時雨後曇
2025-03-30,6.0,4.7,79.0,,雨時々曇
2025-03-31,0.5,5.0,73.0,,曇時々晴
2025-04-01,0.5,6.6,80.0,,曇時々雨
2025-04-02,0.5,10.4,79.0,,曇後一時晴
2025-04-03,7.5,10.7,76.0,,雨時々曇一時晴
2025-04-04,1.0,9.1,75.0,,雨時々曇後晴
2025-04-05,,9.8,61.0,,晴後時々曇
2025-04-06,0.5,14.0,61.0,,曇時々雨、雷を伴う
2025-04-07,0.0,10.3,72.0,,晴後曇時々雨、雷を伴う
2025-04-08,0.5,12.8,56.0,,曇時々晴後雨
2025-04-09,2.0,11.4,73.0,,曇時々雨後晴
2025-04-10,14.5,13.1,72.0,,雨時々曇
2025-04-11,3.5,12.7,87.0,,曇一時雨後時々晴
2025-04-12,0.0,11.9,82.0,,曇時々晴
2025-04-13,15.0,12.7,77.0,,雨後時々曇
2025-04-14,3.0,11.7,66.0,,晴時々曇一時雨
2025-04-15,13.0,9.4,80.0,,雨時々曇一時晴
2025-04-16,1.5,11.3,59.0,,雨後曇時々晴
2025-04-17,,18.5,39.0,,晴時々曇
2025-04-18,6.0,21.5,53.0,,曇後一時晴
2025-04-19,0.0,19.4,73.0,,晴時々曇
2025-04-20,18.5,16.9,79.0,,曇後時々雨
2025-04-21,0.0,12.5,79.0,,晴時々曇
2025-04-22,0.0,16.3,67.0,,晴時々曇
2025-04-23,6.0,16.7,86.0,,雨時々曇
2025-04-24,0.5,13.4,83.0,,曇
2025-04-25,,13.6,70.0,,曇
2025-04-26,,13.0,49.0,,晴
2025-04-27,,18.4,31.0,,晴
2025-04-28,0.0,17.0,60.0,,曇時々雨
2025-04-29,3.5,12.1,70.0,,雨時々曇一時晴
2025-04-30,,12.4,62.0,,晴
2025-05-01,,15.8,63.0,,晴
2025-05-02,2.5,16.0,67.0,,雨時々曇
2025-05-03,0.5,13.5,73.0,,晴後曇一時雨
2025-05-04,3.5,15.0,67.0,,晴一時曇
2025-05-05,,15.3,55.0,,晴時々曇
2025-05-06,20.0,13.9,86.0,,雨後時々曇
2025-05-07,13.5,13.8,71.0,,晴時々曇一時雨
2025-05-08,,13.7,65.0,,晴
2025-05-09,9.5,16.1,75.0,,曇後雨時々晴
2025-05-10,2.5,21.3,65.0,,曇時々雨一時晴
2025-05-11,6.5,16.6,70.0,,曇時々晴一時雨
2025-05-12,7.0,16.3,78.0,,曇時々雨後晴
2025-05-13,,18.2,60.0,,晴
2025-05-14,,19.6,66.0,,晴時々曇
2025-05-15,,20.9,63.0,,曇時々晴
2025-05-16,0.0,22.4,59.0,,曇後時々雨
2025-05-17,16.0,22.4,71.0,,雨時々曇
2025-05-18,0.0,20.3,77.0,,曇時々晴
2025-05-19,,19.3,67.0,,晴時々曇
2025-05-20,,24.3,54.0,,曇後時々晴
2025-05-21,,25.3,69.0,,晴後一時曇、雷を伴う
2025-05-22,1.0,16.9,93.0,,雨時々曇
2025-05-23,,16.1,83.0,,曇時々晴
2025-05-24,20.5,15.7,90.0,,雨時々曇
2025-05-25,6.5,16.1,91.0,,雨時々曇
2025-05-26,,15.1,79.0,,曇
2025-05-27,0.0,16.3,80.0,,晴時々曇
2025-05-28,,18.8,77.0,,晴後一時曇
2025-05-29,0.0,18.5,79.0,,曇時々晴
2025-05-30,0.5,19.1,78.0,,曇一時雨後晴
2025-05-31,12.0,17.5,84.0,,曇時々雨
2025-06-01,2.0,16.5,89.0,,雨時々曇
2025-06-02,,18.3,79.0,,曇時々晴
2025-06-03,14.0,18.0,92.0,,雨
2025-06-04,0.0,20.6,71.0,,晴時々曇
2025-06-05,,20.7,52.0,,晴
2025-06-06,,22.5,58.0,,曇時々晴
2025-06-07,,24.7,47.0,,晴時々曇
2025-06-08,,22.5,61.0,,曇時々晴
2025-06-09,,21.9,70.0,,曇時々晴
2025-06-10,12.5,20.7,91.0,,雨時々曇
2025-06-11,9.0,22.1,89.0,,雨後時々曇
2025-06-12,,20.8,72.0,,曇時々晴
2025-06-13,0.0,19.5,80.0,,曇後晴一時雨
2025-06-14,13.0,23.3,72.0,,雨時々曇
2025-06-15,18.5,23.1,90.0,,雨時々曇
2025-06-16,0.0,26.8,71.0,,曇一時雨
2025-06-17,0.0,27.1,64.0,,晴一時曇
2025-06-18,,25.8,69.0,,晴時々曇
2025-06-19,,26.2,68.0,,晴後時々曇
2025-06-20,,25.8,74.0,,晴
2025-06-21,,30.2,52.0,,晴時々曇
2025-06-22,0.0,28.7,61.0,,曇時々晴
2025-06-23,33.0,22.5,93.0,,雨後一時曇、雷を伴う
2025-06-24,0.0,23.7,88.0,,曇時々雨
2025-06-25,2.0,24.1,89.0,,雨時々曇
2025-06-26,25.0,23.7,82.0,,雨後曇時々晴、雷を伴う
2025-06-27,0.0,24.3,77.0,,曇一時雨後時々晴
2025-06-28,,24.3,81.0,,曇後晴
2025-06-29,,24.9,80.0,,晴
2025-06-30,,28.9,68.0,,晴
2025-07-01,0.0,29.0,67.0,,曇
2025-07-02,0.0,28.1,74.0,,雨後曇一時晴、雷を伴う
2025-07-03,,29.0,71.0,,曇時々晴、雷を伴う
2025-07-04,,29.8,65.0,,晴時々曇、雷を伴う
2025-07-05,0.0,27.6,76.0,,曇時々雨一時晴
2025-07-06,,28.0,73.0,,曇時々晴
2025-07-07,,28.4,75.0,,晴
2025-07-08,0.0,27.2,83.0,,晴一時曇
2025-07-09,15.5,27.7,82.0,,晴一時曇、雷を伴う
2025-07-10,,26.6,80.0,,晴時々曇
2025-07-11,,26.5,80.0,,晴時々曇
2025-07-12,0.0,26.2,79.0,,曇時々雨後晴
2025-07-13,,27.4,76.0,,晴
2025-07-14,3.0,30.2,61.0,,晴後時々曇
2025-07-15,7.5,28.2,76.0,,曇一時雨後時々晴
2025-07-16,1.0,29.8,59.0,,曇時々雨一時晴
2025-07-17,4.5,28.8,63.0,,雨時々曇
2025-07-18,0.0,31.1,50.0,,曇時々晴
2025-07-19,,30.0,54.0,,晴
2025-07-20,,30.1,60.0,,晴後一時曇
2025-07-21,,30.9,63.0,,晴
2025-07-22,,30.6,68.0,,晴
2025-07-23,,30.4,71.0,,晴後一時曇
2025-07-24,,30.0,74.0,,晴一時曇
2025-07-25,,30.5,67.0,,晴、雷を伴う
2025-07-26,,31.2,63.0,,晴、雷を伴う
2025-07-27,,30.8,61.0,,晴時々曇
2025-07-28,,30.8,65.0,,晴
2025-07-29,,29.9,71.0,,晴
2025-07-30,,29.6,77.0,,晴
2025-07-31,0.0,30.5,78.0,,晴
2025-08-01,0.0,30.2,76.0,,曇一時雨後晴
2025-08-02,,30.1,72.0,,晴時々曇
2025-08-03,,29.8,77.0,,晴一時曇
2025-08-04,0.0,31.9,66.0,,晴時々曇
2025-08-05,0.0,31.6,63.0,,曇時々雨
2025-08-06,6.5,29.8,73.0,,曇時々雨、雷を伴う
2025-08-07,172.5,26.1,84.0,,大雨後晴一時曇、雷を伴う
2025-08-08,1.0,26.9,72.0,,晴
2025-08-09,0.0,26.7,67.0,,曇後晴
2025-08-10,36.5,24.4,92.0,,雨
2025-08-11,46.5,26.1,91.0,,雨時々曇
2025-08-12,41.0,24.7,93.0,,雨後時々曇
2025-08-13,0.0,26.2,83.0,,曇時々晴
2025-08-14,,29.5,70.0,,晴
2025-08-15,23.5,27.4,78.0,,晴後雨時々曇
2025-08-16,,28.0,77.0,,晴
2025-08-17,,29.5,69.0,,晴一時曇
2025-08-18,,29.0,70.0,,晴時々曇
2025-08-19,,30.0,66.0,,晴時々曇、雷を伴う
2025-08-20,,30.0,67.0,,晴一時曇
2025-08-21,,29.6,71.0,,晴時々曇
2025-08-22,,30.1,65.0,,晴
2025-08-23,0.0,30.8,68.0,,晴後一時雨一時曇
2025-08-24,,30.4,73.0,,晴
2025-08-25,,30.1,74.0,,晴後一時曇、雷を伴う
2025-08-26,0.0,31.1,69.0,,晴時々曇、雷を伴う
2025-08-27,6.0,27.7,79.0,,曇後雨時々晴、雷を伴う
2025-08-28,,27.2,72.0,,晴時々曇
2025-08-29,,29.1,70.0,,曇時々晴
2025-08-30,,30.0,66.0,,晴
2025-08-31,,29.9,70.0,,晴
2025-09-01,,31.5,58.0,,晴
2025-09-02,0.0,31.5,57.0,,晴後一時曇、雷を伴う
2025-09-03,0.5,27.2,79.0,,曇時々雨後晴、雷を伴う
2025-09-04,9.5,27.0,83.0,,晴後雨時々曇、雷を伴う
2025-09-05,11.0,26.2,86.0,,雨後曇時々晴
2025-09-06,0.0,26.4,72.0,,晴時々曇
2025-09-07,0.0,29.5,60.0,,曇時々晴
2025-09-08,31.0,27.6,82.0,,大雨後曇一時晴
2025-09-09,0.0,27.3,82.0,,晴後曇一時雨
2025-09-10,5.5,25.9,84.0,,曇時々晴一時雨、雷を伴う
2025-09-11,18.5,25.5,85.0,,雨後曇時々晴、雷を伴う
2025-09-12,15.0,25.0,87.0,,曇一時晴後雨、雷を伴う
2025-09-13,1.0,28.5,66.0,,曇後一時雨
2025-09-14,78.5,24.7,92.0,,雨時々曇
2025-09-15,11.5,27.4,81.0,,晴時々雨後曇
2025-09-16,12.0,27.7,77.0,,晴時々曇
2025-09-17,0.5,29.5,73.0,,晴一時曇
2025-09-18,48.5,24.0,88.0,,大雨時々曇、雷を伴う
2025-09-19,0.5,23.4,74.0,,曇時々晴
2025-09-20,97.0,24.8,78.0,,曇時々雨、雷を伴う
2025-09-21,4.0,22.6,76.0,,曇時々晴
2025-09-22,,21.1,71.0,,曇時々晴
2025-09-23,,22.2,71.0,,曇後一時晴
2025-09-24,0.0,24.8,58.0,,晴後時々曇
2025-09-25,7.0,23.8,72.0,,曇時々雨
2025-09-26,4.5,24.6,78.0,,晴一時雨後曇
2025-09-27,,22.0,73.0,,晴時々曇
2025-09-28,0.5,22.5,72.0,,晴後時々曇
2025-09-29,14.5,23.3,80.0,,曇時々雨
2025-09-30,0.0,21.7,78.0,,晴後曇一時雨
2025-10-01,0.5,21.7,79.0,,曇時々晴一時雨、雷を伴う
2025-10-02,,21.0,69.0,,晴時々曇
2025-10-03,,21.4,71.0,,曇
2025-10-04,6.5,23.3,66.0,,雨時々曇
2025-10-05,16.5,22.2,92.0,,雨時々曇
2025-10-06,4.5,22.5,77.0,,雨時々曇後晴
2025-10-07,,22.1,77.0,,曇一時晴
2025-10-08,0.0,22.6,82.0,,曇時々雨
2025-10-09,0.0,21.5,66.0,,
2025-10-10,0.0,19.8,68.0,,晴後曇一時雨
2025-10-11,0.5,19.7,81.0,,雨時々曇
2025-10-12,0.0,25.3,73.0,,晴一時曇
2025-10-13,11.5,20.9,86.0,,曇時々雨
2025-10-14,35.5,18.2,92.0,,雨時々曇
2025-10-15,0.0,20.4,83.0,,曇時々晴
2025-10-16,63.0,19.9,92.0,,大雨時々曇
2025-10-17,1.5,20.6,75.0,,晴一時曇
2025-10-18,35.5,21.5,74.0,,曇後時々雨
2025-10-19,10.0,17.5,86.0,,曇一時雨
2025-10-20,5.5,16.1,85.0,,曇時々晴後雨
2025-10-21,0.0,13.9,75.0,,曇一時雨
2025-10-22,,13.5,75.0,,曇
2025-10-23,,13.8,72.0,,晴一時曇
2025-10-24,,14.0,70.0,,晴時々曇
2025-10-25,3.5,14.9,80.0,,曇一時晴後雨
2025-10-26,31.0,16.0,97.0,,雨
2025-10-27,18.5,14.8,88.0,,雨時々曇一時晴、雷を伴う
2025-10-28,5.0,11.6,82.0,,雨時々曇一時晴
2025-10-29,0.0,11.4,75.0,,晴一時雨後曇
2025-10-30,,12.7,74.0,,晴時々曇
2025-10-31,15.0,12.8,86.0,,曇時々雨
2025-11-01,21.0,14.5,84.0,,雨時々曇一時晴
2025-11-02,11.5,13.2,84.0,,雨時々曇一時晴、雷を伴う
2025-11-03,10.5,10.6,84.0,,雨時々曇、雷を伴う
2025-11-04,,10.7,76.0,,晴時々曇
2025-11-05,0.0,12.2,83.0,,曇後一時雨
2025-11-06,0.0,13.6,80.0,,曇後晴
2025-11-07,0.0,13.2,74.0,,晴一時曇
2025-11-08,,11.8,75.0,,晴時々曇
2025-11-09,9.5,14.0,86.0,,雨時々曇
2025-11-10,10.5,11.8,89.0,,雨時々曇一時晴、雷を伴う
2025-11-11,0.0,10.9,76.0,,曇時々晴一時雨
2025-11-12,,10.4,72.0,,晴時々曇
2025-11-13,,12.0,77.0,,曇
2025-11-14,,11.4,74.0,,曇時々晴
2025-11-15,,10.5,74.0,,晴一時曇
2025-11-16,,11.2,72.0,,曇時々晴
2025-11-17,1.0,14.4,66.0,,晴後雨時々曇、雷を伴う
2025-11-18,18.0,7.0,87.0,,雨時々曇一時晴
2025-11-19,0.5,7.4,71.0,,曇一時雨
2025-11-20,0.0,10.1,57.0,,晴時々曇
2025-11-21,14.0,10.6,82.0,,雨時々曇
2025-11-22,3.5,10.8,70.0,,曇一時雨後晴
